mid,title,year,genre,company,budget,revenue,runtime
123360,From the Journals of Jean Seberg,1995,documentary,Couch Potatoe Productions,0,0,97
5757,Man of the Year,1995,comedy,,0,209935,86
39428,The Neon Bible,1995,drama,Channel Four Films_Academy_Mayfair Films_Iberoamerica Films,0,0,91
124639,Target,1995,,,0,0,122
9302,Up Close & Personal,1996,drama_romance,Cinergi Pictures Entertainment_Touchstone Pictures,60000000,0,119
11000,The Birdcage,1996,comedy,United Artists,31000000,185260553,117
249882,Virgin Mary,1995,drama,,0,0,125
16388,The Brothers McMullen,1995,comedy_drama_romance,Fox Searchlight Pictures,0,0,98
9737,Bad Boys,1995,action_comedy_crime_thriller,Columbia Pictures_Don Simpson/Jerry Bruckheimer Films,19000000,141407024,118
30765,The Amazing Panda Adventure,1995,action_adventure_drama_family,Warner Bros.,0,0,81
10474,The Basketball Diaries,1995,drama_crime,New Line Cinema_Island Pictures,0,0,102
22279,An Awfully Big Adventure,1995,romance_drama_comedy,Fine Line Features_BBC_British Screen Productions_Portman Productions,4000000,851545,113
30157,Amateur,1994,crime_comedy_drama_thriller,Channel Four Films_Zenith Entertainment_American Playhouse_Union GÃ©nÃ©rale CinÃ©matographique (UGC)_La Sept CinÃ©ma_True Fiction Pictures,0,0,105
568,Apollo 13,1995,drama,Imagine Entertainment_Universal Pictures,52000000,355237933,140
11780,Rob Roy,1995,adventure,United Artists_Talisman Productions,28000000,31596911,139
34996,The Addiction,1995,drama_horror,October Films_Guild_Fastnet Films,0,0,82
414,Batman Forever,1995,action_crime_fantasy,Warner Bros._Polygram Filmed Entertainment,100000000,336529144,121
1873,Beyond Rangoon,1995,drama_thriller,Columbia Pictures_Castle Rock Entertainment,0,0,100
5894,Blue in the Face,1995,comedy,Miramax Films_InterAL,2000000,1275000,83
1775,Canadian Bacon,1995,action_comedy,PolyGram Filmed Entertainment,11000000,178104,91
8839,Casper,1995,fantasy_comedy_family,Universal Pictures_Amblin Entertainment_The Harvey Entertainment Company,50000000,287928194,100
20649,Clockers,1995,mystery_crime_drama,Universal Pictures_40 Acres & A Mule Filmworks,25000000,13071518,128
10329,Congo,1995,action_adventure_drama_mystery_science fiction_thriller,"Paramount Pictures_Kennedy/Marshall Company, The",50000000,152022101,109
8963,Crimson Tide,1995,action_thriller_drama,Hollywood Pictures_Don Simpson/Jerry Bruckheimer Films,53000000,157387195,116
26564,Crumb,1994,documentary,Superior Pictures,0,3174695,119
8068,Desperado,1995,thriller_action_crime,Columbia Pictures_Los Hooligans Productions,7000000,25405445,104
8512,Devil in a Blue Dress,1995,drama_mystery_thriller,TriStar Pictures_Mundy Lane Entertainment,27000000,16140822,102
1572,Die Hard: With a Vengeance,1995,action_thriller,Twentieth Century Fox Film Corporation_Cinergi Pictures Entertainment,90000000,366101666,128
13552,The Doom Generation,1995,action_comedy_crime_drama,Why Not Productions_Desperate Pictures_Blurco_The Teen Angst Movie Company,0,0,80
259209,Feast of July,1995,drama_crime,Touchstone Pictures_Merchant Ivory Productions,0,0,116
6520,First Knight,1995,action_adventure_drama_romance,Columbia Pictures Corporation_First Knight Productions,55000000,127600435,134
9073,Free Willy 2 - The Adventure Home,1995,adventure,Regency Enterprises_Alcor Films_Canal+_Donner/Shuler-Donner Productions_Warner Bros.,0,0,95
10428,Hackers,1995,action_crime_thriller_drama,United Artists_Suftley,20000000,7563728,107
17447,Jeffrey,1995,comedy_drama_romance,The Booking Office_Workin' Man Films,0,0,92
9886,Johnny Mnemonic,1995,adventure_action_drama_science fiction_thriller,TriStar Pictures_Alliance Communications Corporation,25000000,19075720,97
9482,Judge Dredd,1995,science fiction,Hollywood Pictures_Cinergi Pictures Entertainment,90000000,113493481,96
19326,Jury Duty,1995,comedy_drama,TriStar Pictures,0,17014653,88
9344,Kids,1995,drama_crime,Miramax Films,1500000,7412216,91
9071,Living in Oblivion,1995,drama_comedy,JDI productions_Lemon Sky Productions,500000,1148752,89
8973,Lord of Illusions,1995,mystery_horror_thriller,United Artists_Seraphim Films,0,0,119
15730,Love & Human Remains,1993,comedy_drama,The Ontario Film Development Corporation_First Choice Films_Atlantis Films_Telefilm Canada_Max Films Productions_Super Ã‰cran_SociÃ©tÃ© GÃ©nÃ©rale des Industries Culturelles du QuÃ©bec (SOGIC),0,0,100
47608,Mad Love,1995,drama_family_romance,Touchstone Pictures,0,15453274,95
2293,Mallrats,1995,romance_comedy,Universal Pictures_Gramercy Pictures_Alphaville Films_View Askew Productions,6000000,2122561,94
9070,Mighty Morphin Power Rangers: The Movie,1995,action_adventure_science fiction_family_fantasy,Twentieth Century Fox Film Corporation_Saban Entertainment_Toei Company,15000000,66000000,92
68274,Moonlight and Valentino,1995,comedy_drama_romance,PolyGram Filmed Entertainment_Working Title Films,0,0,100
48787,Mute Witness,1995,thriller_foreign,Comet Film Produktion GmbH_Avrora Media_Cobblestone Pictures,2,1,95
34574,Nadja,1994,horror_thriller,Kino Link Company,0,0,93
1642,The Net,1995,crime_drama_mystery_thriller_action,Columbia Pictures,22000000,110627965,114
11472,Nine Months,1995,comedy,Twentieth Century Fox Film Corporation_1492 Pictures,0,69660733,103
36196,Party Girl,1995,comedy,Party Productions,150000,472370,94
11980,The Prophecy,1995,fantasy_horror_thriller,Dimension Films,8,16,98
58372,Reckless,1995,fantasy_comedy_drama,"Playhouse International Pictures_American Playhouse_Samuel Goldwyn Company, The",0,0,91
32646,Safe,1995,drama,Killer Films_American Playhouse_Kardana Films_Chemical Films,0,0,119
10533,The Scarlet Letter,1995,drama_history_romance,Hollywood Pictures_Cinergi Pictures Entertainment,50000000,10382407,135
10802,Showgirls,1995,drama,United Artists_Le Studio Canal+_Carolco Pictures,45000000,20350754,128
10149,Smoke,1995,comedy_drama,Miramax Films,7000000,8349430,112
18402,Something to Talk About,1995,comedy,Spring Creek Productions_Warner Bros._Hawn / Sylbert Movie Company,0,50892160,106
9348,Species,1995,science fiction_horror_action,Metro-Goldwyn-Mayer (MGM),35000000,113374103,108
139408,The Stars Fell on Henrietta,1995,drama,Malpaso Productions_Butcher's Run Films_Warner Bros.,0,0,109
281,Strange Days,1995,crime_drama_science fiction_thriller,Lightstorm Entertainment,42000000,7959291,145
79593,The Tie That Binds,1995,thriller,Hollywood Pictures_PolyGram Filmed Entertainment_Interscope Communications,14000000,5780000,99
47939,Three Wishes,1995,drama_fantasy,Savoy Pictures,0,7025496,115
36834,Total Eclipse,1995,drama_romance,SociÃ©tÃ© FranÃ§aise de Production (SFP)_FIT Productions_Portman Productions,0,339889,111
9090,"To Wong Foo, Thanks for Everything! Julie Newmar",1995,comedy,Universal Pictures_Amblin Entertainment,0,47774193,105
3512,Under Siege 2: Dark Territory,1995,action_thriller,Regency Enterprises_Warner Bros._Seagal/Nasso Productions_Victor Company of Japan (JVC)_Cutting Edge Films,60000000,104324083,100
52856,Unstrung Heroes,1995,comedy_drama_family,Hollywood Pictures,0,0,93
77350,Unzipped,1995,documentary,,0,0,73
9560,A Walk in the Clouds,1995,drama_romance,Twentieth Century Fox Film Corporation_Zucker Brothers Productions,20000000,50012507,103
9804,Waterworld,1995,adventure_action,Universal Pictures_Gordon Company_Davis Entertainment_Licht/Mueller Film Corporation,175000000,264218220,135
31611,White Man's Burden,1995,drama,HBO_A BandApart_Rysher Entertainment,8000000,0,89
65796,Wild Bill,1995,action_western,United Artists,30000000,0,98
49805,The Browning Version,1994,drama,Paramount Pictures,0,0,97
26258,Bushwhacked,1995,adventure_action_comedy_crime_family,Twentieth Century Fox Film Corporation,0,0,90
19155,Before the Rain,1994,drama_war,PolyGram Audiovisuel_British Screen Productions,0,763847,113
76,Before Sunrise,1995,drama_romance,Detour Film Production_Warner Bros.,2500000,5535405,105
11017,Billy Madison,1995,comedy,Jack Giarraputo Productions,10000000,26488734,89
37141,The Babysitter,1995,drama_thriller,Spelling Films International,0,0,90
9382,Boys on the Side,1995,comedy_drama,Regency Enterprises_Alcor Films_Canal+_New Regency Pictures_Hera Productions,21000000,23450000,115
6715,The Cure,1995,drama_family,Universal Pictures_Island World,0,0,97
18256,Castle Freak,1995,thriller_drama_horror_mystery,Full Moon Entertainment,0,0,95
22625,Circle of Friends,1995,drama_family_romance,The Rank Organisation_BÃ³rd ScannÃ¡n na hÃ‰ireann_Lantana_Price Entertainment,0,0,103
2292,Clerks,1994,comedy,Miramax Films_View Askew Productions,27000,3151130,92
1909,Don Juan DeMarco,1994,romance_drama_comedy,New Line Cinema_American Zoetrope,25000000,22200000,97
8984,Disclosure,1994,drama_thriller_crime_mystery_romance,Warner Bros._Baltimore Pictures,55000000,214015089,123
61813,Dream Man,1995,thriller,Keystone Pictures_Dream Man Productions Inc,0,0,0
4954,Drop Zone,1994,action_adventure_thriller,Paramount Pictures,45000000,0,101
10531,Death and the Maiden,1994,drama_thriller_mystery,Fine Line Features_Channel Four Films_Capitol Films_TF1 Films Production_Canal+_Flach Film_Les Films de l'Astre,0,0,103
11929,Dolores Claiborne,1995,crime_drama_mystery,Castle Rock Entertainment_Columbia Pictures Corporation,0,0,132
8467,Dumb and Dumber,1994,comedy,New Line Cinema_Motion Picture Corporation of America (MPCA),16000000,247275374,107
20156,Exotica,1994,drama_mystery,Miramax Films_Alliance Entertainment_Ego Film Arts,0,0,103
18395,Exit to Eden,1994,thriller_comedy_crime_romance,Savoy Pictures,0,6841570,113
522,Ed Wood,1994,comedy_drama_history,Touchstone Pictures,18000000,5887457,127
397,French Kiss,1995,comedy_romance,Twentieth Century Fox Film Corporation_PolyGram Filmed Entertainment_Working Title Films_Prufrock Pictures,0,0,111
10525,Forget Paris,1995,comedy_drama_romance,Columbia Pictures_Castle Rock Entertainment,0,0,101
27985,Far from Home: The Adventures of Yellow Dog,1995,action_adventure_drama_family,Twentieth Century Fox Film Corporation,0,0,87
15789,A Goofy Movie,1995,romance_animation_family_comedy_adventure,Walt Disney Pictures,0,35348597,78
27303,Hideaway,1995,drama_thriller,TriStar Pictures,15000000,12201255,103
21183,Fluke,1995,drama_family_fantasy,Metro-Goldwyn-Mayer,0,0,96
47867,Gordy,1995,drama_family_fantasy,,0,3992809,90
43475,Gumby: The Movie,1995,fantasy_animation_science fiction_family,,0,0,77
72031,The Glass Shield,1994,drama_action_thriller_crime,Miramax Films,0,0,109
14275,Hoop Dreams,1994,documentary,Fine Line Features_Kartemquin Films,700000,7830611,171
1024,Heavenly Creatures,1994,drama_fantasy,WingNut Films_Miramax Films_New Zealand Film Commission_Fontana Productions,5000000,3049135,99
17207,Houseguest,1995,comedy_family,Caravan Pictures_Hollywood Pictures,10500000,26325256,113
13701,Immortal Beloved,1994,drama_music_romance,Columbia Pictures_Majestic Films International_Icon Entertainment International,120,0,121
14819,Heavyweights,1995,comedy_family_drama,Walt Disney Pictures_Caravan Pictures,0,17689177,100
32631,The Hunted,1995,action_thriller,Universal Pictures_Bregman/Baer Productions,0,0,106
11777,I.Q.,1994,comedy_drama_romance,Paramount Pictures,25000000,0,100
628,Interview with the Vampire,1994,horror_romance,Geffen Pictures,60000000,223664608,123
87729,Jefferson in Paris,1995,drama_romance,Merchant Ivory Productions_Touchstone Pictures,14000000,2474000,139
18713,The Jerky Boys,1995,comedy_crime,Caravan Pictures_Touchstone Pictures,0,0,82
6280,Junior,1994,comedy_family_romance,Universal Pictures_Northern Lights Entertainment,60000000,37000000,109
9061,Just Cause,1995,action_drama_mystery_thriller,Fountainbridge Films_Warner Bros._Lee Rich Productions,0,0,102
37108,A Kid in King Arthur's Court,1995,adventure_fantasy_comedy_science fiction_family,Walt Disney Pictures_Trimark Pictures,0,0,89
6071,Kiss of Death,1995,action_crime_drama_thriller,Twentieth Century Fox Film Corporation,40000000,0,101
11,Star Wars,1977,adventure_action_science fiction,Lucasfilm_Twentieth Century Fox Film Corporation,11000000,775398007,121
9587,Little Women,1994,drama_romance,Columbia Pictures,18000000,0,115
19101,A Little Princess,1995,drama_family_fantasy,Warner Bros.,17000000,0,97
49980,Ladybird Ladybird,1994,drama,Channel Four Films_Parallax Pictures,0,0,101
4476,Legends of the Fall,1994,adventure_drama_romance_war,Bedford Falls Productions_TriStar Pictures_Pangaea,30000000,160638883,133
11008,Major Payne,1995,adventure_comedy_family,Universal Pictures,0,0,95
47504,Little Odessa,1994,action_drama,Fine Line Features_New Line Cinema_Live Entertainment,0,0,98
32325,Mi Vida Loca,1994,crime_drama,Channel Four Films_Cineville_Home Box Office (HBO)_Showcase Entertaiment Inc.,0,0,92
43742,Love Affair,1994,drama_romance,Warner Bros.,60000000,0,108
28313,Losing Isaiah,1995,drama,Paramount Pictures,17000000,7603766,106
11318,The Madness of King George,1994,comedy_drama_history,Channel Four Films_Samuel Goldwyn Company_Close Call Films,0,0,107
3036,Mary Shelley's Frankenstein,1994,drama_horror_science fiction_romance,American Zoetrope_TriStar Pictures,45000000,112006296,123
40490,Man of the House,1995,action_comedy_family,Walt Disney Pictures,0,0,96
24070,Mixed Nuts,1994,comedy_drama_romance,TriStar Pictures,15000000,0,97
8986,Milk Money,1994,comedy_romance,Paramount Pictures_The Kennedy/Marshall Company,0,18137661,108
10510,Miracle on 34th Street,1994,fantasy_drama_family,Twentieth Century Fox Film Corporation,0,46264384,114
17402,Miami Rhapsody,1995,comedy_romance,Hollywood Pictures,6,5,95
38722,My Family,1995,comedy_drama,American Zoetrope_American Playhouse_Majestic Films International_Newcomb Productions,5500000,0,128
8438,Murder in the First,1995,crime_drama,Wolper Organization_Warner Bros.,0,17381942,122
11593,Nobody's Fool,1994,drama_comedy,Paramount Pictures_Capella International_Cinehaus,0,0,110
1945,Nell,1994,drama_thriller,Twentieth Century Fox Film Corporation_Egg Pictures_PolyGram Filmed Entertainment,31000000,106683817,112
39310,New Jersey Drive,1995,crime_drama,40 Acres & A Mule Filmworks,0,0,98
109560,New York Cop,1993,action_thriller_crime_drama,TOEI_Distant Justice Joint Venture,0,0,93
56428,Beyond Bedlam,1994,horror,Metrodome Films,4800000,0,89
63105,Nemesis 2 - Nebula,1995,science fiction_action_thriller,Filmwerks_Imperial Entertainment,0,0,83
131957,Nina Takes a Lover,1995,drama_romance,Triumph Films,0,0,100
241,Natural Born Killers,1994,crime_thriller_drama,Regency Enterprises_Alcor Films_Ixtlan_Warner Bros._New Regency Pictures_J D Productions,34000000,50282766,119
9058,Only You,1994,comedy_drama_romance,TriStar Pictures,0,0,115
527,Once Were Warriors,1994,drama,Avalon Studios_New Zealand Film Commission_New Zealand On Air,0,2201126,99
18220,Poison Ivy II: Lily,1996,drama_romance_thriller,New Line Cinema_CineTel Pictures_MG Entertainment,0,0,106
6950,Outbreak,1995,action_drama_science fiction_thriller,Kopelson Entertainment_Punch Productions_Warner Bros._Arnold Kopelson Productions,50000000,189859560,127
63020,The Perez Family,1995,comedy_drama_romance,"Samuel Goldwyn Company, The",11000000,2832826,113
2307,A Pyromaniac's Love Story,1995,comedy_drama_romance,Hollywood Pictures,0,0,94
680,Pulp Fiction,1994,thriller_crime,Miramax Films_A Band Apart_Jersey Films,8000000,213928762,154
41478,Panther,1995,drama,Polygram Filmed Entertainment_Gramercy Pictures (I)_MVP Films,0,6834525,124
40156,Priest,1994,drama_romance,BBC Films_PolyGram Filmed Entertainment_Miramax,0,4176932,98
11450,Quiz Show,1994,history_drama,Wildwood Enterprises_Hollywood Pictures_Baltimore Pictures,0,0,133
30304,Picture Bride,1995,drama_history,Cecile Company_Thousand Cranes Filmworks,0,0,94
12106,The Quick and the Dead,1995,action_western,TriStar Pictures,32000000,18552460,107
